Exercise,Muscle_Group,Equipment,Difficulty
Push-up,Chest,Bodyweight,Beginner
Diamond Push-up,Triceps,Bodyweight,Intermediate
Squat,Legs,Bodyweight,Beginner
Pistol Squat,Legs,Bodyweight,Intermediate
Pull-up,Back,Bodyweight,Intermediate
Plank,Core,Bodyweight,Beginner
Lunge,Legs,Bodyweight,Beginner
Dumbbell Bench Press,Chest,Dumbbell,Intermediate
Dumbbell Curl,Biceps,Dumbbell,Beginner
Dumbbell Shoulder Press,Shoulders,Dumbbell,Beginner
Goblet Squat,Legs,Dumbbell,Intermediate
Dumbbell Row,Back,Dumbbell,Beginner
Resistance Band Pull-Apart,Shoulders,Resistance Band,Beginner
Resistance Band Bicep Curl,Biceps,Resistance Band,Beginner
Resistance Band Tricep Extension,Triceps,Resistance Band,Beginner
Resistance Band Squat,Legs,Resistance Band,Beginner
Burpee,Full Body,Bodyweight,Intermediate
Mountain Climbers,Core,Bodyweight,Beginner
Side Plank,Core,Bodyweight,Beginner
Russian Twist,Core,Dumbbell,Intermediate
